Differenzierbar in \(x_0\) (Verallgemeinert auf normierte Vektorraeume)	Seien \(E\) und \(F\) normierte Vektorraeume. Dann heisst \(f: \Omega \subseteq E \rightarrow F,\ \Omega\) offen, in \(x_0 \in \Omega\) differenzierbar, wenn es eine lineare Abbildung \(A: E \rightarrow F\) mit \[\lim \limits_{x \rightarrow x_0} \frac{\|f(x)-\{f(x_0)+A(x-x_0)\}\|_{F}}{\|x-x_0\|_{E}}}\] gibt.
Satz 2.2	Ist \(f: \Omega \subseteq E \rightarrow F\) in \(x_0\) differenzierbar, so ist die Ableitung von \(f\) in \(x_0\) eindeutig bestimmt. Sie wird mit \(f'(x_0)\) bezeichnet.
Satz 2.4	Ist \(f\) in \(x_0\) differenzierbar und \(f'(x_0)\) stetig, so ist \(f\) in \(x_0\) stetig.
Satz 2.6	Eine lineare Abbildung \(A: E \rightarrow F\) ist genau dann auf ganz \(E\) stetig, wenn sie in irgendeinem \(x_0 \in E\) stetig ist, und dies ist genau dann der Fall, wenn \(A\) beschraenkt ist, das heißt, es eine Konstante \(C\) mit \[\|Av\|_{F} \leq C\|v\|_{E}\] fuer alle \(v \in E\) gibt.
Satz 2.7	Durch den Ausdruck \[\|A\|_{E \rightarrow F} := \sup_{\|v\|_E=1}\|Av\|_F\] wird eine Norm auf dem Vektorraum \(L(E,F)\) aller beschraenkten linearen Abbildungen von \(E\) nach \(F\) definiert. Fuer \(v \in E\) ist \[\|Av\|_{F} \leq \|A\|_{E \rightarrow F} \|v\|_{E}.\] Der Ausdruck \(\|A\|_{E \rightarrow F}\) wird als Operatornorm von A bezeichnet.
Operatornorm	Der Ausdruck \[\|A\|_{E \rightarrow F} := \sup_{\|v\|_{E}=1}\|Av\|_{F}\] wird als Operatornorm von \(A\) bezeichnet.
Satz 2.8	Sei \(E\) ein Vektorraum. Ist \(E\) endlichdimensional, so ist jede lineare Abbildung \(A:E \rightarrow F\) beschraenkt und damit stetig.
Satz 2.9	Ist \(f\) in \(x_0\) sowohl stetig als auch differenzierbar, so ist die Ableitung \(f'(x_0)\) eine stetige lineare Abbildung von \(E\) nach \(F\).
Differenzierbar	Die Funktion \(f: \Omega \subseteq E \rightarrow F\) heisst auf der offenen Menge \(\Omega\) differenzierbar, wenn \(f\) in jedem Punkt \(x_0 \in \Omega\) differenzierbar ist.
Stetig Differenzierbar	Die Funktion \(f: \Omega \subseteq E \rightarrow F\) heisst auf der offenen Menge \(\Omega\) stetig differenzierbar, wenn die Abbildung \[f': \Omega \rightarrow L(E,F):x \rightarrow f'(x)\] stetig ist.
Richtungsdifferenzierbar	Die Funktion \(f: \Omega \subseteq E \rightarrow F\) heisst richtungsdifferenzierbar in Richtung \(e \in E, e\neq 0\), wenn die Richtungsableitung existiert.
Richtungsableitung	\[\lim_{t \rightarrow 0} \frac {f(x_0+te)-f(x_0)}{t}\]
